Week,Whitney Museum,MoMA,The Met,Guggenheim
5/4/2013,10,53,90,21
5/11/2013,9,57,63,21
5/18/2013,10,56,61,22
5/25/2013,9,55,56,19
6/1/2013,9,57,52,19
6/8/2013,8,51,51,20
6/15/2013,8,52,53,24
6/22/2013,13,58,54,27
6/29/2013,10,59,54,24
7/6/2013,9,58,53,23
7/13/2013,9,65,53,24
7/20/2013,9,69,53,23
7/27/2013,10,62,53,25
8/3/2013,9,55,54,25
8/10/2013,9,55,49,24
8/17/2013,9,62,47,23
8/24/2013,10,81,47,23
8/31/2013,9,66,48,25
9/7/2013,11,67,46,25
9/14/2013,11,73,48,27
9/21/2013,10,87,47,26
9/28/2013,9,72,54,21
10/5/2013,8,68,52,21
10/12/2013,7,58,52,20
10/19/2013,8,56,52,19
10/26/2013,7,55,52,21
11/2/2013,7,59,51,22
11/9/2013,7,56,52,20
11/16/2013,7,57,52,20
11/23/2013,6,56,51,20
11/30/2013,7,54,53,19
12/7/2013,6,53,50,18
12/14/2013,6,52,49,17
12/21/2013,7,57,59,21
12/28/2013,8,62,62,24
1/4/2014,7,52,48,20
1/11/2014,7,50,48,22
1/18/2014,6,48,49,21
1/25/2014,6,46,48,19
2/1/2014,5,45,49,18
2/8/2014,6,45,49,19
2/15/2014,6,48,51,21
2/22/2014,6,46,46,21
3/1/2014,9,49,46,22
3/8/2014,9,50,46,22
3/15/2014,9,52,48,22
3/22/2014,9,50,48,22
3/29/2014,8,49,48,21
4/5/2014,7,47,48,23
4/12/2014,8,54,52,25
4/19/2014,7,50,51,22
4/26/2014,7,48,50,24
5/3/2014,8,51,78,22
5/10/2014,6,50,55,21
5/17/2014,7,48,56,20
5/24/2014,6,44,52,19
5/31/2014,6,45,47,18
6/7/2014,6,43,46,19
6/14/2014,6,42,45,17
6/21/2014,10,47,48,17
6/28/2014,11,46,46,17
7/5/2014,10,50,51,18
7/12/2014,11,52,51,18
7/19/2014,12,55,51,18
7/26/2014,13,52,53,19
8/2/2014,12,58,52,20
8/9/2014,10,62,50,18
8/16/2014,10,65,46,20
8/23/2014,9,71,43,18
8/30/2014,10,72,45,18
9/6/2014,10,93,45,17
9/13/2014,10,100,47,18
9/20/2014,10,92,44,21
9/27/2014,11,82,46,18
10/4/2014,11,78,47,19
10/11/2014,13,67,61,19
10/18/2014,9,56,49,22
10/25/2014,5,56,46,19
11/1/2014,5,60,49,19
11/8/2014,5,61,49,19
11/15/2014,5,55,46,18
11/22/2014,5,52,46,17
11/29/2014,5,54,47,20
12/6/2014,5,55,49,17
12/13/2014,5,53,46,17
12/20/2014,5,54,51,17
12/27/2014,6,65,60,21
1/3/2015,6,52,44,17
1/10/2015,7,58,47,16
1/17/2015,20,55,45,17
1/24/2015,7,49,44,15
1/31/2015,8,54,44,15
2/7/2015,8,52,41,17
2/14/2015,6,49,43,18
2/21/2015,5,48,41,17
2/28/2015,5,56,41,18
3/7/2015,6,55,46,18
3/14/2015,6,50,43,18
3/21/2015,5,53,46,18
3/28/2015,7,53,46,19
4/4/2015,6,51,48,19
4/11/2015,6,47,42,17
4/18/2015,16,47,47,19
4/25/2015,26,47,46,18
5/2/2015,22,47,100,17
5/9/2015,20,49,51,18
5/16/2015,23,48,52,17
5/23/2015,19,47,47,18
5/30/2015,17,59,47,17
6/6/2015,16,48,48,18
6/13/2015,16,48,46,15
6/20/2015,16,46,46,21
6/27/2015,15,45,46,17
7/4/2015,14,46,48,18
7/11/2015,15,47,48,17
7/18/2015,15,48,50,16
7/25/2015,16,51,49,17
8/1/2015,15,51,47,18
8/8/2015,14,51,47,17
8/15/2015,14,57,48,16
8/22/2015,14,56,43,17
8/29/2015,13,54,46,16
9/5/2015,13,56,46,16
9/12/2015,13,55,42,17
9/19/2015,13,52,42,17
9/26/2015,12,54,43,17
10/3/2015,12,51,45,18
10/10/2015,12,58,48,18
10/17/2015,12,48,46,19
10/24/2015,12,54,45,17
10/31/2015,15,50,46,18
11/7/2015,14,49,44,17
11/14/2015,11,46,44,17
11/21/2015,12,46,42,15
11/28/2015,11,47,43,15
12/5/2015,11,46,43,16
12/12/2015,11,45,42,15
12/19/2015,12,48,43,16
12/26/2015,18,58,56,21
1/2/2016,14,47,48,18
1/9/2016,12,45,44,17
1/16/2016,12,43,42,16
1/23/2016,12,43,41,16
1/30/2016,12,45,41,15
2/6/2016,13,48,42,16
2/13/2016,14,44,47,17
2/20/2016,12,44,45,16
2/27/2016,12,42,46,16
3/5/2016,12,44,45,16
3/12/2016,11,45,47,17
3/19/2016,13,47,49,18
3/26/2016,11,46,48,19
4/2/2016,12,45,46,19
4/9/2016,11,42,47,18
4/16/2016,11,44,48,19
4/23/2016,11,45,49,19
4/30/2016,12,46,83,18
5/7/2016,10,42,53,17
5/14/2016,10,45,52,19
5/21/2016,11,42,51,18
5/28/2016,11,44,51,17
6/4/2016,10,43,48,17
6/11/2016,10,41,46,16
6/18/2016,10,39,46,15
6/25/2016,10,40,45,15
